Remate,Link,Catalogo,Start,End,Source
Gran Venta Fallow Pollas ,https://www.fallowremates.com/remates/14,https://admin.fallowremates.com/public/pdf/318852-gran-venta-fallow-pollas---martes-9-de-septiembre---productos-2023pdf.pdf,2025-09-09 00:00:00,2025-09-09 23:00:00,fallowremates
Haras Don Florentino,https://www.fallowremates.com/remates/16,https://admin.fallowremates.com/public/pdf/44976-catalogo-hdf-xli-remate-sept-2025pdf.pdf,2025-09-27 00:00:00,2025-09-27 23:00:00,fallowremates
Fallow Jockey,https://www.fallowremates.com/remates/15,https://admin.fallowremates.com/public/pdf/153122-gran-venta-fallow-jockey---martes-7-10-2025---animales-de-training---productos-2023pdf.pdf,2025-10-07 00:00:00,2025-10-07 23:00:00,fallowremates
Gran venta Fallow Derby,https://www.fallowremates.com/remates/24,,2025-11-20 00:00:00,2025-11-20 23:00:00,fallowremates
Reducción Haras Aitue,https://www.fallowremates.com/remates/27,https://admin.fallowremates.com/public/pdf/674263-gran-venta-aitue-e-invitado---miercoles-4-de-marzo---yeguas-madres---productos-2024-y-2025-2pdf.pdf,2026-03-04 00:00:00,2026-03-04 23:00:00,fallowremates
Haras Santa Ines,https://www.fallowremates.com/remates/28,https://admin.fallowremates.com/public/pdf/580735-gran-venta-yeguas-madres-haras-santa-ines-2026-fallow-digital_pdf.pdf,2026-04-07 00:00:00,2026-04-07 23:00:00,fallowremates
Venta Anual Haras Las Retamas e Invitados,https://www.fallowremates.com/remates/31,,2026-04-16 00:00:00,2026-04-16 23:00:00,fallowremates
Fallow Latinoamericano Venta Mixta,https://www.fallowremates.com/remates/30,,2026-04-21 00:00:00,2026-04-24 23:00:00,fallowremates
Gran Venta Fallow 25 Aniversario,https://www.fallowremates.com/remates/33,,2026-04-30 00:00:00,2026-04-30 23:00:00,fallowremates
Venta Anual Haras Ojos Claros,https://www.fallowremates.com/remates/29,,2026-05-09 00:00:00,2026-05-09 23:00:00,fallowremates
Gran venta anual Haras El Trébol,https://www.fallowremates.com/remates/34,,2026-05-23 00:00:00,2026-05-23 23:00:00,fallowremates
Gran Venta Fallow Areco,https://www.fallowremates.com/remates/35,,2026-05-26 00:00:00,2026-05-26 23:00:00,fallowremates
Fallow Estrellas La Pasion,https://www.fallowremates.com/remates/25,,2026-06-25 00:00:00,2026-06-25 23:00:00,fallowremates
DIA 1 - REMATE REDUCCION DE PLANTEL | HARAS LA PASIÓN,/remates/dia-1-remate-reduccion-de-plantel-haras-la-pasion/lotes,/attachments/remates/2026-03-03c-gran-remate-reduccion-2026.pdf,03/03/2026,03/03/2026,bullrich
DIA 2 - REMATE REDUCCION DE PLANTEL | HARAS LA PASIÓN,/remates/dia-2-remate-reduccion-de-plantel-haras-la-pasion/lotes,/attachments/remates/2026-03-03c-gran-remate-reduccion-2026.pdf,05/03/2026,05/03/2026,bullrich
VENTA MIXTA | HARAS EL MALLÍN E INVITADOS,/remates/venta-mixta-haras-el-mallin-e-invitados/lotes,/attachments/remates/catalogo-venta-mixta-marzo-2026-antonio-bullrich-sa.pdf,09/03/2026,09/03/2026,bullrich
VENTA TRAINING | HARAS FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes,/attachments/remates/training-marzo-16-2025-.pdf,16/03/2026,16/03/2026,bullrich
LIQUIDACIÓN TOTAL | HARAS ORILLA DEL MONTE,/remates/liquidacion-total-haras-orilla-del-monte/lotes,,24/03/2026,24/03/2026,bullrich
COPA BULLRICH ABRIL,/remates/copa-bullrich-abril-3/lotes,,09/04/2026,09/04/2026,bullrich
YEGUAS MADRES | HARAS FIRMAMENTO,/remates/yeguas-madres-haras-firmamento/lotes,,14/04/2026,14/04/2026,bullrich
VENTA SELECCIÓN | HARAS FIRMAMENTO,/remates/venta-seleccion-haras-firmamento/lotes,,12/05/2026,12/05/2026,bullrich
COPA BULLRICH JUNIO,/remates/copa-bullrich-junio-3/lotes,,11/06/2026,11/06/2026,bullrich
HARAS VACACION,/remates/view/369,/mydocuments/a447b160-2c58-4005-ad63-10eeef1ec158.pdf,23-03-2026,26-03-2026,argsales
HARAS ABOLENGO,/remates/view/370,/mydocuments/a7ea719b-3406-47ea-b523-f87ede76c775.pdf,28-03-2026,31-03-2026,argsales
HARAS SANTA MARIA DE ARARAS,/remates/view/377,,05-04-2026,08-04-2026,argsales
HARAS VACACION,/remates/view/371,,09-04-2026,12-04-2026,argsales
HARAS LA MADRINA,/remates/view/378,,16-04-2026,19-04-2026,argsales
Haras El Paraíso - GRAN VENTA SELECCION,/remates/view/375,,22-04-2026,25-04-2026,argsales
HARAS ABOLENGO,/remates/view/372,,30-04-2026,03-05-2026,argsales
HARAS SANTA INÉS,/remates/view/376,,26-05-2026,29-05-2026,argsales
HARAS VACACION,/remates/view/373,,01-06-2026,04-06-2026,argsales
HARAS ABOLENGO,/remates/view/374,,20-06-2026,23-06-2026,argsales
HARAS VACACION,/remates/view/379,,28-07-2026,31-07-2026,argsales
Haras Gran Muñeca - Yeguas Madres,,https://martinzubeldia.com/wp-content/uploads/2026/03/Haras-Gran-Muneca-MZ-1.pdf,12-03-2026,12-03-2026,martinzubeldia
Haras La Leonor - Producción 2024 & 2025,,,27-03-2026,27-03-2026,martinzubeldia
